date,year,month,price_usd,unit,mineral
2016-02-01,2016,2,34.01,Dólar por Libra (USD/lb),Uranio (U)
2016-03-01,2016,3,30.11,Dólar por Libra (USD/lb),Uranio (U)
2016-04-01,2016,4,27.82,Dólar por Libra (USD/lb),Uranio (U)
2016-05-01,2016,5,27.95,Dólar por Libra (USD/lb),Uranio (U)
2016-06-01,2016,6,27.35,Dólar por Libra (USD/lb),Uranio (U)
2016-07-01,2016,7,25.85,Dólar por Libra (USD/lb),Uranio (U)
2016-08-01,2016,8,25.9,Dólar por Libra (USD/lb),Uranio (U)
2016-09-01,2016,9,24.88,Dólar por Libra (USD/lb),Uranio (U)
2016-10-01,2016,10,21.49,Dólar por Libra (USD/lb),Uranio (U)
2016-11-01,2016,11,18.57,Dólar por Libra (USD/lb),Uranio (U)
2016-12-01,2016,12,19.22,Dólar por Libra (USD/lb),Uranio (U)
2017-01-01,2017,1,22.17,Dólar por Libra (USD/lb),Uranio (U)
2017-02-01,2017,2,25.15,Dólar por Libra (USD/lb),Uranio (U)
2017-03-01,2017,3,24.64,Dólar por Libra (USD/lb),Uranio (U)
2017-04-01,2017,4,23.25,Dólar por Libra (USD/lb),Uranio (U)
2017-05-01,2017,5,21.64,Dólar por Libra (USD/lb),Uranio (U)
2017-06-01,2017,6,19.75,Dólar por Libra (USD/lb),Uranio (U)
2017-07-01,2017,7,20.36,Dólar por Libra (USD/lb),Uranio (U)
2017-08-01,2017,8,20.41,Dólar por Libra (USD/lb),Uranio (U)
2017-09-01,2017,9,20.43,Dólar por Libra (USD/lb),Uranio (U)
2017-10-01,2017,10,20.23,Dólar por Libra (USD/lb),Uranio (U)
2017-11-01,2017,11,22.35,Dólar por Libra (USD/lb),Uranio (U)
2017-12-01,2017,12,24.69,Dólar por Libra (USD/lb),Uranio (U)
2018-01-01,2018,1,23.37,Dólar por Libra (USD/lb),Uranio (U)
2018-02-01,2018,2,21.76,Dólar por Libra (USD/lb),Uranio (U)
2018-03-01,2018,3,21.73,Dólar por Libra (USD/lb),Uranio (U)
2018-04-01,2018,4,20.85,Dólar por Libra (USD/lb),Uranio (U)
2018-05-01,2018,5,21.98,Dólar por Libra (USD/lb),Uranio (U)
2018-06-01,2018,6,23.07,Dólar por Libra (USD/lb),Uranio (U)
2018-07-01,2018,7,23.42,Dólar por Libra (USD/lb),Uranio (U)
2018-08-01,2018,8,26.05,Dólar por Libra (USD/lb),Uranio (U)
2018-09-01,2018,9,27.11,Dólar por Libra (USD/lb),Uranio (U)
2018-10-01,2018,10,27.51,Dólar por Libra (USD/lb),Uranio (U)
2018-11-01,2018,11,28.93,Dólar por Libra (USD/lb),Uranio (U)
2018-12-01,2018,12,28.76,Dólar por Libra (USD/lb),Uranio (U)
2019-01-01,2019,1,28.71,Dólar por Libra (USD/lb),Uranio (U)
2019-02-01,2019,2,28.64,Dólar por Libra (USD/lb),Uranio (U)
2019-03-01,2019,3,27.2,Dólar por Libra (USD/lb),Uranio (U)
2019-04-01,2019,4,25.7,Dólar por Libra (USD/lb),Uranio (U)
2019-05-01,2019,5,24.68,Dólar por Libra (USD/lb),Uranio (U)
2019-06-01,2019,6,24.48,Dólar por Libra (USD/lb),Uranio (U)
2019-07-01,2019,7,25.23,Dólar por Libra (USD/lb),Uranio (U)
2019-08-01,2019,8,25.28,Dólar por Libra (USD/lb),Uranio (U)
